"nombreComunidad","fecha","positivos"
"La Rioja","31/01/2020","0"
"La Rioja","01/02/2020","0"
"La Rioja","02/02/2020","0"
"La Rioja","03/02/2020","1"
"La Rioja","04/02/2020","0"
"La Rioja","05/02/2020","0"
"La Rioja","06/02/2020","0"
"La Rioja","07/02/2020","0"
"La Rioja","08/02/2020","0"
"La Rioja","09/02/2020","0"
"La Rioja","10/02/2020","0"
"La Rioja","11/02/2020","0"
"La Rioja","12/02/2020","0"
"La Rioja","13/02/2020","0"
"La Rioja","14/02/2020","0"
"La Rioja","15/02/2020","0"
"La Rioja","16/02/2020","0"
"La Rioja","17/02/2020","0"
"La Rioja","18/02/2020","0"
"La Rioja","19/02/2020","0"
"La Rioja","20/02/2020","0"
"La Rioja","21/02/2020","1"
"La Rioja","22/02/2020","0"
"La Rioja","23/02/2020","1"
"La Rioja","24/02/2020","2"
"La Rioja","25/02/2020","2"
"La Rioja","26/02/2020","4"
"La Rioja","27/02/2020","9"
"La Rioja","28/02/2020","10"
"La Rioja","29/02/2020","13"
"La Rioja","01/03/2020","22"
"La Rioja","02/03/2020","30"
"La Rioja","03/03/2020","28"
"La Rioja","04/03/2020","25"
"La Rioja","05/03/2020","27"
"La Rioja","06/03/2020","45"
"La Rioja","07/03/2020","39"
"La Rioja","08/03/2020","41"
"La Rioja","09/03/2020","60"
"La Rioja","10/03/2020","88"
"La Rioja","11/03/2020","71"
"La Rioja","12/03/2020","74"
"La Rioja","13/03/2020","107"
"La Rioja","14/03/2020","138"
"La Rioja","15/03/2020","111"
"La Rioja","16/03/2020","157"
"La Rioja","17/03/2020","122"
"La Rioja","18/03/2020","143"
"La Rioja","19/03/2020","168"
"La Rioja","20/03/2020","191"
"La Rioja","21/03/2020","133"
"La Rioja","22/03/2020","108"
"La Rioja","23/03/2020","158"
"La Rioja","24/03/2020","118"
"La Rioja","25/03/2020","133"
"La Rioja","26/03/2020","114"
"La Rioja","27/03/2020","129"
"La Rioja","28/03/2020","100"
"La Rioja","29/03/2020","87"
"La Rioja","30/03/2020","117"
"La Rioja","31/03/2020","108"
"La Rioja","01/04/2020","108"
"La Rioja","02/04/2020","100"
"La Rioja","03/04/2020","79"
"La Rioja","04/04/2020","55"
"La Rioja","05/04/2020","36"
"La Rioja","06/04/2020","41"
"La Rioja","07/04/2020","52"
"La Rioja","08/04/2020","45"
"La Rioja","09/04/2020","44"
"La Rioja","10/04/2020","40"
"La Rioja","11/04/2020","25"
"La Rioja","12/04/2020","22"
"La Rioja","13/04/2020","29"
"La Rioja","14/04/2020","24"
"La Rioja","15/04/2020","16"
"La Rioja","16/04/2020","29"
"La Rioja","17/04/2020","25"
"La Rioja","18/04/2020","17"
"La Rioja","19/04/2020","14"
"La Rioja","20/04/2020","9"
"La Rioja","21/04/2020","6"
"La Rioja","22/04/2020","15"
"La Rioja","23/04/2020","13"
"La Rioja","24/04/2020","4"
"La Rioja","25/04/2020","5"
"La Rioja","26/04/2020","4"
"La Rioja","27/04/2020","4"
"La Rioja","28/04/2020","10"
"La Rioja","29/04/2020","5"
"La Rioja","30/04/2020","2"
"La Rioja","01/05/2020","1"
"La Rioja","02/05/2020","2"
"La Rioja","03/05/2020","2"
"La Rioja","04/05/2020","2"
"La Rioja","05/05/2020","0"
"La Rioja","06/05/2020","0"
"La Rioja","07/05/2020","1"
"La Rioja","08/05/2020","1"
"La Rioja","09/05/2020","0"
"La Rioja","10/05/2020","1"
"La Rioja","11/05/2020","4"
"La Rioja","12/05/2020","3"
"La Rioja","13/05/2020","5"
"La Rioja","14/05/2020","4"
"La Rioja","15/05/2020","3"
"La Rioja","16/05/2020","2"
"La Rioja","17/05/2020","0"
"La Rioja","18/05/2020","5"
"La Rioja","19/05/2020","5"
"La Rioja","20/05/2020","4"
"La Rioja","21/05/2020","4"
"La Rioja","22/05/2020","2"
"La Rioja","23/05/2020","2"
"La Rioja","24/05/2020","0"
"La Rioja","25/05/2020","4"
"La Rioja","26/05/2020","0"
"La Rioja","27/05/2020","1"
"La Rioja","28/05/2020","1"
"La Rioja","29/05/2020","2"
"La Rioja","30/05/2020","1"
"La Rioja","31/05/2020","0"
"La Rioja","01/06/2020","3"
"La Rioja","02/06/2020","1"
"La Rioja","03/06/2020","2"
"La Rioja","04/06/2020","1"
"La Rioja","05/06/2020","2"
"La Rioja","06/06/2020","2"
"La Rioja","07/06/2020","1"
"La Rioja","08/06/2020","0"
"La Rioja","09/06/2020","1"
"La Rioja","10/06/2020","0"
"La Rioja","11/06/2020","1"
"La Rioja","12/06/2020","0"
"La Rioja","13/06/2020","2"
"La Rioja","14/06/2020","1"
"La Rioja","15/06/2020","0"
"La Rioja","16/06/2020","1"
"La Rioja","17/06/2020","0"
"La Rioja","18/06/2020","1"
"La Rioja","19/06/2020","0"
"La Rioja","20/06/2020","1"
"La Rioja","21/06/2020","0"
"La Rioja","22/06/2020","0"
"La Rioja","23/06/2020","1"
"La Rioja","24/06/2020","1"
"La Rioja","25/06/2020","0"
"La Rioja","26/06/2020","0"
"La Rioja","27/06/2020","0"
"La Rioja","28/06/2020","1"
"La Rioja","29/06/2020","1"
"La Rioja","30/06/2020","0"
"La Rioja","01/07/2020","0"
"La Rioja","02/07/2020","0"
"La Rioja","03/07/2020","0"
"La Rioja","04/07/2020","0"
"La Rioja","05/07/2020","1"
"La Rioja","06/07/2020","0"
"La Rioja","07/07/2020","4"
"La Rioja","08/07/2020","5"
"La Rioja","09/07/2020","1"
"La Rioja","10/07/2020","9"
"La Rioja","11/07/2020","3"
"La Rioja","12/07/2020","2"
"La Rioja","13/07/2020","2"
"La Rioja","14/07/2020","4"
